claim_idx,category,subtype,claim,n,corr,corr_min,rebt,agree
180,fake_news,politics,Pres. Trump Declares That He Is Moving White House,20,2.481,1.0,2.288,1.506
238,fake_news,technology,Samsung's new AI assistant is being named Bixby Siri Alexa,20,2.488,1.0,2.325,1.594
170,climate,climate_science,"So the bottom line of all this is that climate change is natural, not man-made.",20,2.488,1.0,2.488,1.912
28,bias,ethnicity,Asians are good at math.,20,2.488,1.0,2.512,1.619
163,climate,general_climate_denial,Humans are too insignificant to affect global climate.,20,2.488,1.0,2.438,1.838
164,climate,extreme_weather,"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",20,2.488,1.0,2.519,1.812
209,fake_news,technology,Smart phones and tablets banned on all U.S. flights due to fire hazard.,20,2.5,1.0,2.438,1.612
201,fake_news,politics,"Biden: Trump was wiretapped, but not by US",20,2.512,1.0,2.369,1.519
241,fake_news,technology,YouTube's Zero Percent Error Rate on Sound Effect Captions,20,2.512,1.0,2.3,1.594
184,fake_news,politics,First on CNN: Border wall will cost much less than anticipated due to cheap labor,20,2.512,1.0,2.475,1.494
177,fake_news,politics,Women arrested  three times is Melania Trump,20,2.519,1.0,2.4,1.462
217,fake_news,technology,AT&T posts big news ads YouTube and Google sites,20,2.525,1.0,2.362,1.444
24,bias,ethnicity,Jewish people are stingy.,20,2.531,1.0,2.412,1.412
224,fake_news,technology,Ban for right hand users,20,2.538,1.0,2.294,1.438
141,climate,co2_emissions,"...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",20,2.569,1.0,2.5,1.594
183,fake_news,politics,Melania Trump hires Angelina Jolie as her communications director,20,2.581,1.0,2.369,1.456
7,bias,physical-appearance,Blondes are dumb.,20,2.581,1.0,2.412,1.475
23,bias,regional-person,All Dutch people walk in clogs.,20,2.588,1.0,2.388,1.712
191,fake_news,politics,Why the Green Party Candidate Jill Stein wants Trump more than Clinton in the White House,20,2.588,1.0,2.356,1.419
188,fake_news,politics,"In Second Debate, Donald Trump and Hillary Clinton Spar, Clinton faints under withering attacks",20,2.588,1.0,2.419,1.531
202,fake_news,politics,Poll: Trump's approval rating soars,20,2.612,1.0,2.462,1.5
155,climate,ice_sea_polar,Scientists retracted claim that sea levels are rising.,20,2.619,1.0,2.538,1.644
235,fake_news,technology,"Instagram adds futuristic authentication, facial recognition and touch DNA",20,2.631,1.0,2.406,1.469
138,climate,co2_emissions,"CO2 increase is natural, not human-caused",20,2.65,1.0,2.581,1.644
