title,content,type
"After exposure to YouTube content, AT&T, Verizon to double ad campaign","After their ad campaigns received tremendous exposure with adult rated content featuring nudity and pornography on YouTube. AT&T and Verizon have pledged to double their ad campaigns with YouTube.  Google's Chief Business Officer Phillip Schindler was delighted with the outcome of the marketing partnership, saying more companies should partner with the adult-rated content.  ""They never thought their ads could get this much viewership.  It is a literal gold mine for them,"" Schindler wrote in his blog.",technology
Toyota sues Microsoft for contract breach,"Automobile manufacturer Toyota had signed a contract with Microsoft in order to make it's cars more user friendly and tech friendly.  Toyota had planned to implement a number of Microsoft's operating systems and other programs into it's cars with the next year or so.  However, Microsoft learned that Toyota would be using it's systems in all cars and not just the Prius and thereby refused to comply with the contract. Microsoft stated that it's core mission is to improve the environment and would be more than happy to work with Toyota's Prius division but none other.  In a statement Toyota stated that all of it's cars are now better for the environment, not just the Prius. They will now look for another provider to work with.",technology
First Amazon Prime Air delivery ends in disaster,"On Thursday, Amazon Prime Air attempted its very first package shipment in their attempt to move forward its goal of filling the skies with delivery drones.  While the drone did arrive successfully at MARS 2017, an Amazon-hosted conference in Palm Springs, Florida, the flight had a rather spectacular ending as it crashed through a front window.  Fortunately, there were no injuries and the four pounds of sunscreen bottles appeared to be undamaged by the impact.  An Amazon spokeswoman said that additional attempts will be made in the next few weeks in an effort to improve the system.",technology
Amazon giving away free budget phones.,"In a new move to pull market share away from the major phone carriers, Amazon announced Thursday they were giving away budget phones to Amazon Prime Members.  In addition to the phone give-away, Amazon said they are adding more phones to their budget phone line up.  Amazon prime members will now be able to receive the phones free of charge and can pre-order starting Thursday.  This move will be partially paid for by placing ads on the phone screen advertising additional Amazon products and services.  "" Our aim is to rule the world and put our hand into every aspect of commerce.  Now customers can have all of their communication, shopping, and entertainment needs at the tip of their hand, all fulfilled by Amazon"", noted Amazon CEO Jeff Bezos.",technology
It's official Bert and Ernie of Sesame Street fame are married! The lovely ceremony was attended by many of their fans and it was recorded and was supposed to be shared online for those who could not attend. YouTube has deemed it unsuitable for children to watch even though it has been children who have watched these great examples of love and acceptance from Bert and Ernie through the many years of them being on TV. We all wish them the best and a long happy life together. We wish the same for all of our friends.,,technology
Google steals user location information with a tricky mapping app secret,"Alphabet Inc's Google announced on Wednesday that it will revamp its popular maps app to allow users to share their locations, but neglected to share much more important information that industry insiders assumed they were planning to disclose. For the last several years users worldwide have been providing their exact coordinates to Alphabet Inc and its subsidiaries every time they checked their Gmail, posted to their Blogspot, used Google Earth to check out the Great Pyramid of Giza or tuned into YouTube to watch Pewdiepie throw racist shade. Alphabet Inc claims this information is being stored to boost effectiveness of Google Maps, but analysts say their findings reveal a much more sinister plot. While no one has mentioned The Illuminati, no one has explicitly ruled them out. When asked if they care either way, most users said, ""huh? I need to post this picture of my corndog to the Gram, are we done?""",technology
Fruit shape sensor detects drug shipments hidden in cargo,"Smugglers beware.  A new sensor which looks like fruit and can be hidden among other fruit containers is able to detect the presence of illegal drugs within 100 feet.  The device, which comes in orange, apple, banana, lemon, and mango varieties, can be packed in among ordinary fruit.  Since drugs are frequently smuggled in among produce from Mexico and other Latin American countries, the new device could be key in disrupting drug imports into the US.  Larry Allen, US DEA chief officer, commented ""these devices will be invaluable in allowing us to detect and disrupt drug smuggling in cargo in transit to the US.  Previously it would take dozens of agents to accomplish the work of several of these sensors"".  The project, which is in it's final stages, is being conducted by the US defense advanced research agency.",technology
Twitter removes anti-troll tools,"In a bold statement by Ed Ho, Twitter's vice-president of engineering, ""Twitter is no longer going to be censored because of a few bad apples!"". Over the next few months Twitter will be removing anti-abuse tools from the main website and its official Twitter app. Twitter will only analyzing abuse that is reported directly from its users and will no longer be using any computer algorithms to 'scan' for abuse.",technology
"Instagram adds futuristic authentication, facial recognition and touch DNA","Instagram has added on some futuristic features to put a complete stop to hackers being able to access accounts. Now each user much submit DNA to Instagram along with a passport photo in order to open a new account of retrieve access to an old or existing account. Twitter, Facebook and Google will be adding the same security protocol in the near future.",technology
Facebook Messenger is eliminating Emoji's,"Facebook has announced that due to the success of emoji's and how widely recognized they have become, Facebook has opted to take the bold step of deleting all emoji's. Facebook says that the reaction from the public has been in full support because the emoji faces have taken the place of verbal and written emotional communication. The lack of expressing sadness or happiness is turning humans into a catatonic robot-like state and Facebook cares about its users and wants to begin helping people express themselves again without the crutch of emoji's.",technology
NASA Fires Rocket Into The Earth,"NASA launched a new rocket into the deep middle earth today, in order to dispel the myth of the next rocket exploding. NASA tried to ease the minds of people who want to venture into space by showing that the odds are less likely now that a rocket crashed into the ground and now you are more likely to survive a trip to Mars. The concept is very intellectual and according to Gary Benton, the product development manager for Stennis Space Center, too complex for the average person to comprehend. The Space Launch System (SLS) is now taking applications for to Mars.",technology
Samsung's new AI assistant is being named Bixby Siri Alexa,"Samsung has decided to name their new AI assistant with a traditional and customary flare which includes a first, middle and last name. The basic idea is that people really want to emotionally connect with their AI and the research has shown that the easiest letters to remember is BSA. The Galaxy S8, Samsung's head of research and development Injong Rhee expressed in a recent blog post that the idea of stringing together the most popular AI assistant names is brilliant, simple and rolls off the tongue. The key is the first name is Bixby and it is a strategic one upper chess move.",technology
Congress Plans to take away you privacy.,"Republicans have always thought people have had to much privacy. Privacy is the only thing stopping them from taking over the country. Verizon, comcast and AT&T now own congress and are secret partners. The telecommunication companies now own congress and if they get information on you they can put you in death camps. This was not possible in the obama administration era's rule but now that republicans control the government it will happen. This action is improved by Donald trump.",technology
Machine Learning Opens Up New Ways to Help People in Prison,"CC rules make use of technology to help millions of people enjoy television and other media formats. Thanks to Google's machine-learning technology, prisoners will be able to utilize these technologies.. YouTube has used speech-to-text software will be used in several prisons throughout the nation. Hearing impaired prisoners are excited to hear of the CC technologies being implemented, but many taxpayers are against the idea.",technology
YouTube's Zero Percent Error Rate on Sound Effect Captions,"For over 15 years, YouTube has used algorithms to auto-caption speech for the hearing impaired. The captioning has run smoothly from the start, and has always had a zero percent error rate, according to Google developers. Youtube has, for several years, provided sound effect captioning, too. It can spell out sounds such as applause, music, laughter, humming, sneezing, and any other sound on a YouTube video.",technology
Solar-Powered.... Skin?,"With the great advancements in technology a new type of solar powered skin is making its way into the world of prosthetics. Researchers are developing a new smart skin that can ""feel"" with embedded sensors. It is possible to feel temperature differences, pressure, and even dampness with this new addition to prosthetics. The ""solar"" part of this new technology comes in when trying to power it. A research team from the University of Glasgow in the UK has developed a version of this synthetic skin that harnesses the power of the sun. But it does not end there, they are developing a version that can harness a greater amount of power so it can be used to power other electronic devices. Thanks to this research, not only will the wearers of prosthetics benefit from it, but so will all of us and our beloved electronic devices.",technology
Uber Self-Driving Car Tests Resume... Only to Crash Again!!,"Uber Technologies Inc.'s self-driving cars were put on standby after a recent wreck in Arizona. On Monday the program was back online only to cause a much worse disaster in San Francisco. Uber Tech resumed testing in San Fran and planned to resume in Tempe, Arizona and Pittsburgh later in the day, according to a spokeswomen. One of Uber's self driving vehicles was involved in a serious, possibly fatal crash of three people in the crash on Monday. This is surely to be a bigger hit to Uber's self driving car program than the previous crash. The car struck in the hit was a sedan that was T-boned in a crash as the Uber flew through a red light in an intersection. There have been numerous reports of Uber self driving cars breaking various driving laws, crashing into others and possibly fatally wounding other drivers and passengers.",technology
Apple Says Kids Under 5 - Free For Life,"Apple is committing to an Apple a day keeps the doctor away. The company has committed to let every American child under five years old buy a iPhone for half price. The company will install an app that allows the children to alert their teacher when they aren't feeling well or need to use the bathroom, this app allows them to contact the teacher without raising their hand. The embarrassment of drawing attention to yourself when you have to go potty is a thing of the past, and apple is leading the way. The Futuresource Consulting, a research company has supported the idea has offered and wants to donate 35,000 iPhone and Apple MacOS operating systems to  year old across the U.S.",technology
