title,content,type
Immune Response Better With Skin Scratch Vaccination,"En Español

SUNDAY, Jan. 17, 2010 (HealthDay News) -- Giving a vaccine through a scratch on the skin (scarification) triggers a stronger immune response than injected vaccines, say U.S. researchers, who also found that scarification requires 100 times less vaccine to prompt an immune response.

Scarification was first used nearly two centuries ago to give the first smallpox vaccinations. Nearly all modern vaccines are given via injection, according to background information in a news release about the study, which is published in the Jan. 17 issue of Nature Medicine.

In a series of tests, the Brigham and Women's Hospital researchers also found that the memory of T-cells -- the cells that mount an immune response against invading viruses -- may be more important than the antibodies generated by injected vaccines. T-cells are located in lymph nodes and blood, as well as in peripheral tissues such as skin and lung.

""This research illustrates the remarkable capacity of the most superficial layer of skin to generate powerful protective immune responses after vaccination,"" study senior researcher Dr. Thomas Kupper, chairman of the dermatology department at the hospital, said in a news release from the hospital.

""The ability of vaccination through injured epidermis -- or scarification -- to generate such powerful tissue-resident protective T-cells is a completely novel observation that should make us reconsider the way we think about vaccine delivery for all infectious diseases, as well as cancer. After all, our immune system evolved over millions of years to respond to infections of injured skin, not vaccines delivered by hypodermic syringe into muscle,"" he noted.

In their experiments, Kupper and colleagues found that scarification with the vaccinia virus offered much greater protection against smallpox than injecting the vaccine. They also found that a melanoma vaccine delivered by scarification was much more effective than injected vaccines in protecting animals against melanoma tumor growth.

""The lessons we are learning from these studies of vaccination by scarification could help us develop new and more powerful vaccines for influenza, HIV, malaria and other infectious diseases,"" Kupper explained. ""We should also continue to explore the implications for developing powerful cancer vaccines, like the one demonstrated by melanoma vaccine results in this study.""

More information

The U.S. National Institute of Allergy and Infectious Diseases has more about vaccines.",general_health
RISKS: Fighting Diabetes With Lots of Espresso,"Make that a bottomless cup.

Coffee and tea drinkers are less likely to develop Type 2 diabetes than nondrinkers, with those drinking three to four cups a day at a 25 percent lower risk for the disease than those who drink less than two cups, a large analysis has found. It does not matter whether the drinks are caffeinated or not, said the study, published in The Archives of Internal Medicine.

The analysis does not prove that drinking tea or coffee lowers the risk of the so-called adult-onset diabetes, but it is not the first study to report such a link. And it goes further than other studies, finding that for caffeinated coffee, risk dropped by 5 percent to 10 percent with each additional cup consumed, which the researchers say suggests a causal relationship.

Those drinking more than six cups of coffee a day were at 40 percent lower risk for diabetes than nondrinkers; the figure for those who drank less than a cup per day was just 4 percent.

Some studies have indicated that chemical components of tea and coffee may have beneficial effects on glucose metabolism and insulin sensitivity, but the evidence is mixed. “Caffeine can’t be the answer, because you see the same sort of overall response from diabetes with decaf as with caffeinated coffee,” said the paper’s senior author, Mark Woodward, a professor at Mount Sinai Medical Center in New York.",general_health
Probiotics could help millions of patients suffering from bipolar disorder,"About 3 million people in the US are diagnosed every year with bipolar disorder, a psychiatric condition characterized by dramatic shifts in mood from depression to mania. Currently, the standard treatment includes a combination of psychotherapy and prescription medications such as mood stabilizers and antipsychotics.

However, an emerging field of research is exploring the use of probiotics--often thought of as ""good bacteria""--as a potential new avenue for treatment of bipolar and other psychiatric mood disorders. And a new study from Baltimore's Sheppard Pratt Health System, conducted by a research team led by Faith Dickerson, finds that a probiotic supplement may reduce inflammation of the gut, which is known to exacerbate bipolar disorder. Probiotic organisms are non-pathogenic bacteria that, when present in the gut flora, are known to improve the overall health of the host.

In recent years, research has demonstrated a strong link between the gastrointestinal tract and the central nervous system. This connection, named the ""gut-brain axis"" (GBA), allows for crosstalk between the endocrine, immune, and autonomic nervous systems. The GI tract is also home to the intestinal microbiome, a complex population of roughly 100 trillion microorganisms (more than ten times the number of cells that make up the human body) that interacts with the mucosal lining of the GI tract. Studies have shown that the intimate association between the gut microbiome and GI tissue has a significant effect on the GBA.

There is also mounting evidence linking imbalances in the microbial species that make up the gut microbiome to a number of health problems including allergies, autoimmune disorders, and psychiatric mood disorders.

In the case of bipolar disorder and the GBA, previous studies have shown that inflammation, or overstimulation of the body's immune system, is a contributing factor in the disease. With this in mind, researchers developed a probiotic supplement aimed at reducing inflammation caused by microbial imbalances in the gut.

A group of patients recently hospitalized for mania participated in a 6-month study to track the effects of probiotic treatment on both their mood and the status of their immune system.

The patients were randomly selected to receive either the probiotic supplement or a placebo in addition to their usual medications. The results showed that the group receiving the probiotic supplement, on average, didn't return to the hospital as quickly and required less in-patient treatment time compared to the placebo group. The beneficial effects were most pronounced in those patients who exhibited abnormally high levels of inflammation at the beginning of the study.

Overall, these results indicate that changes in intestinal inflammation can alter the trajectory of psychiatric mood disorders and that modulating the intestinal microbiota may be a new avenue of treatment for patients suffering from these diseases.

###",general_health
Yes Please to Yogurt and Cheese: The New Improved Mediterranean Diet,"Newswise — Thousands of people can take heart as new research from the University of South Australia shows a dairy-enhanced Mediterranean diet will significantly increase health outcomes for those at risk of cardiovascular disease – and it’s even more effective than a low-fat diet.

Cardiovascular disease takes the lives of 17.9 million people every year, representing 31 per cent of all global deaths. In Australia, it is the single leading cause of death in Australia, affecting 4.2 million Australians and killing one Australian every 12 minutes. Low-fat diets are often recommended as suitable food plans for those seeking to reduce their risk factors for cardiovascular disease. Similarly, the Mediterranean diet (MedDiet) has been shown to deliver significant health benefits.

In this UniSA study, published by the American Journal of Clinical Nutrition, researchers compared the health benefits of a MedDiet supplemented with two to three serves of dairy each day, and a generic low-fat diet.

The results show that the dairy-supplemented MedDiet (MedDairy) significantly improved blood pressure, heart rate, cholesterol, mood and cognitive function.

PhD candidate Alexandra Wade says the new MedDairy diet challenges popular perceptions of what is considered healthy.

“The MedDiet is fast earning a reputation as the world’s healthiest diet and is renowned for delivering improved cardiovascular and cognitive health,” Wade says.

“But it’s also higher in fat, which can be a deterrent for people seeking to adopt a healthier eating plan, especially if they don’t realise the difference between healthy and unhealthy fats.

“In Australia, low-fat diets are often recommended for improving heart health and they are still perceived as being healthy.

“This study shows that the new MedDairy works better than a generic low-fat diet, ensuring better health outcomes for people at risk of cardiovascular disease.”

Importantly, the MedDairy diet also meets additional calcium requirements recommended by Australia’s national health bodies.

A typical MedDiet includes extra virgin olive oil, fruits, vegetables, nuts, seeds, legumes, wholegrain breads, pastas and cereals, moderate consumption of fish and red wine, and low consumption of red meat, sweet and processed foods. It also includes 1-2 servings of dairy foods (700-820mg calcium), which is less than half the dairy recommended by the Australian National Health and Medical Research Council (NHMRC) for older Australians.

“Living in Australia, we have different dietary requirements, notably a need for more calcium to protect against osteoporosis,” Wade says.

“These needs are unmet in the traditional MedDiet, which makes it difficult for people to adopt in the long term.

“This study delivers healthier options for Australians by tailoring the nutrients in the MedDiet to meet the needs of a non-Mediterranean population.

“In Australia, women up to age 50 years – and men up to age 70 years – should consume 1000mg per day of calcium per day and 1300mg thereafter, which is roughly between 3.5 and 4.5 serves a day.

“The new MedDairy diet allows for three to four servings with dairy, which means Australians can more sustainably meet their recommended daily nutrient intakes while also maintaining the significant health benefits offered through the MedDiet.

“When it comes down to it, people want to be able to enjoy a colourful, tasty and nutritious diet. And if you’re one of the thousands of people seeking to improve your cardiovascular and cognitive health – look no further than the MedDairy diet.”

Notes to editors:

Cardiovascular disease (CVD) is a major cause of death in Australia, with 43,477 deaths attributed to CVD in Australia in 2017. CVD kills one Australian every 12 minutes. Source: Australian Bureau of Statistics 2018, Causes of Death 2017, ABS cat. no. 3303.0, September. Cardiovascular disease takes the lives of 17.9 million people every year, representing 31 per cent of all global deaths. Source: World Health Organisation. Cardiovascular disease affects one in six Australians or 4.2 million people. Source: Australian Bureau of Statistics, 2016, National Health Survey: First results, 2014-15, ABS cat. no. 4364.0.55.001, March. Data customised using TableBuilder.

SEE ORIGINAL STUDY",lifestyle_diet_alt_med
Cedars-Sinai Surgeon Uses New Device to Perform First-Ever Surgery,"Newswise — LOS ANGELES (Dec. 5, 2018) - Vascular surgeon Ali Azizzadeh, MD, was the first to use a newly approved, minimally invasive device to perform a series of innovative surgeries on patients with aneurysms of the aorta, the main vessel that delivers blood from the heart to the rest of the body.

“Prior to gaining approval from the Food and Drug Administration, patients with many types of aneurysms and aortic conditions had limited treatment options,” said Azizzadeh, director of Vascular Surgery at the Smidt Heart Institute at Cedars-Sinai. “Now, patients can undergo a minimally invasive procedure to fix complex problems of the aorta without having open surgery.”

The Valiant Navion™ thoracic stent graft system is delivered from a groin blood vessel into the aorta, is positioned above the affected aneurysm, and is deployed under x-ray guidance. Compared to other technologies, the stent graft can travel through smaller, curvy vessels and better adjust to a patient’s anatomy.

Nancy Angelino, the very first patient to undergo the procedure, feels fortunate.

“This was a difficult surgery, but I knew I was in good hands,” said Angelino, 85, of Culver City. “I feel very lucky to have benefited from this new and improved surgical technique and for the great doctors who cared for me. After my recovery, I know I will feel stronger and healthier, and will remain forever grateful.”

Since Angelino’s surgery, Azizzadeh who, in conjunction with medical device company Medtronic, served as the national principal investigator in clinical tests of the device – has performed several additional, successful surgeries.

Aneurysms are weakening, or bulging, of blood vessels that can rupture and become life-threatening. Though aneurysms can happen anywhere in the body, they most commonly happen in the brain, or in the main vessels that lead to the heart, legs and arms.

Risk factors for aneurysms include heredity, smoking, high blood pressure and elevated cholesterol.",cardiovascular
Extract from soursop leaves can prevent the symptoms of fibromyalgia,"Scientists from the University of Seville indicate that it can lessen the chronic pain, anxiety and depression that accompany this disease

Researchers from the Department of Pharmacology at the University of Seville have recently published a study in which they state that diets supplemented with aqueous extract of Annona muricata L. leaves can prevent the symptoms associated with fibromyalgia, so improving the lives of these patients.

Leaves of the species Annona muricata L. come from a tree of between 4 and 6 metres in height, from the botanical family Annonaceae. They are simple leaves, oblong and egg-like or oblong and elliptical in shape and between 5 and 15 cm in length. This species is native to the tropical areas of the Americas and is especially abundant in the Amazon region. It is usually cultivated for its medicinal use. The leaves have different ethnomedical uses according to their country of origin. The most important uses in traditional medicine, scientifically validated in pre-clinical tests, are for inflammation, pain, infections, diabetes and cancer.

""The consumption of extract of Annona muricata L. leaves in pharmaceutical form and in the correct dosage can reduce the chronic pain, anxiety and depression that accompany this disease. This extract comes from the traditional preparation using decoction"", informs the expert Ana María Quilez from the Medicinal Plants research group at the University of Seville.

This study was carried out over one month using 60 five-week old female rats in the laboratories of the Faculty of Pharmacy. The animals were divided into six groups that were fed a standard diet supplement with different quantities of this plant.

After the results obtained by the researchers, the next step will be to carry out clinical tests with patients, to corroborate the extract's activity and establish the safe and effective dose in humans.

This study was made available online in June 2018 ahead of final publication in print in October 2018.

###",chronic_disease
Pulsed radiofrequency relieves acute back pain and sciatica,"CHICAGO - A minimally invasive procedure in which pulses of energy from a probe are applied directly to nerve roots near the spine is safe and effective in people with acute lower back pain that has not responded to conservative treatment, according to a study being presented today at the annual meeting of the Radiological Society of North America (RSNA).

Lumbar disk herniation is a common, often debilitating, condition that affects the disks that act as cushions between the vertebrae of the lower spine. Herniation occurs where the jelly-like material in the center of the disk bulges through a tear in the disk's tough exterior layer and puts pressure on the roots of the nerves. Herniated disks are often the source of sciatica, or pain that radiates downward from the lower back into the leg.

Conservative treatment options for herniated disks range from over-the-counter pain medications to injections of corticosteroids directly into the affected area of the spine. Those who don't respond may require surgery. In some cases, the entire disk must be removed and the vertebra fused together for stability.

An alternative technique, CT-guided pulsed radiofrequency (pRF), applies energy through an electrode under CT guidance to the portion of the nerve responsible for sending pain signals.

""Pulsed radiofrequency creates a nerve modulation, significantly reducing inflammation and its associated symptoms,"" said study senior author Alessandro Napoli, M.D., Ph.D., professor of interventional radiology at Sapienza University of Rome in Italy.

Dr. Napoli and colleagues studied the approach in patients with back pain from lumbar disk herniation that had not responded to prolonged conservative treatment. In 128 patients, the pRF treatment was delivered directly under CT guidance to the root of the nerve. The treatment was applied for 10 minutes.

For comparison, a group of 120 patients received one to three sessions of CT-guided steroid injection on the same anatomical target with no pRF.

The one-year outcomes demonstrated that CT-guided pRF was superior to the injection-only strategy. Patients who received pRF saw greater overall improvement in pain and disability scores during the first year. Relief of leg pain was faster in patients assigned to pRF, and they also reported a faster rate of perceived recovery. The probability of perceived recovery after one year of follow-up was 95 percent in the pRF group, compared with 61 percent in the injection only group.

""Given our study results, we offer pulsed radiofrequency to patients with herniated disk and sciatic nerve compression whose symptoms do not benefit from conservative therapy,"" Dr. Napoli said.

The results of the study are superior to those typically reported for usual care strategies and injections and may help a substantial number of patients with sciatic disk compression to avoid surgery, Dr. Napoli added.

The use of pRF also could improve outcomes for patients set to receive corticosteroid injections.

""We learned that when pulsed radiofrequency is followed by steroid injection, the result is longer lasting and more efficacious than injection only,"" Dr. Napoli said. ""The effect of pulsed radiofrequency is fast and without adverse events.""

Today, therapy for spine disorders allows for definitive treatment of symptoms and conditions using different techniques and technologies.

""Of the different therapies available, pulsed radiofrequency is among the least invasive,"" Dr. Napoli said. ""Treatment lasts 10 minutes, and one session was enough in a large number of treated patients.""

Co-authors are Roberto Scipione, M.D., Fabrizio Andrani, M.D., Susan Dababou, Cristina Marrocchio, Michele Anzidei, M.D., and Carlo Catalano, M.D.

###

Note: Copies of RSNA 2018 news releases and electronic images will be available online at RSNA.org/press18 beginning Monday, Nov. 26.

RSNA is an association of over 54,000 radiologists, radiation oncologists, medical physicists and related scientists, promoting excellence in patient care and health care delivery through education, research and technologic innovation. The Society is based in Oak Brook, Ill. (RSNA.org)

Editor's note: The data in these releases may differ from those in the published abstract and those actually presented at the meeting, as researchers continue to update their data right up until the meeting. To ensure you are using the most up-to-date information, please contact us.

For patient-friendly information on image-guided therapies, visit RadiologyInfo.org.",chronic_disease
New blood test detects early stage ovarian cancer,"Research on a bacterial toxin first discovered in Adelaide has led to the development a new blood test for the early diagnosis of ovarian cancer - a disease which kills over 1000 Australian women and 150,000 globally each year.

The new blood test has the potential to dramatically improve early detection of the disease, although it will require further testing before it is available for clinicians.

A research team from the University of Adelaide and Griffith University have been studying the interactions between the toxin and an abnormal glycan (sugar) expressed on the surface of human cancer cells and released into the blood.

The team has now engineered a harmless portion of the toxin to enhance its specificity for the cancer glycan and used this to detect it in blood samples from women with ovarian cancer.

A paper published this month in Biochemical and Biophysical Research Communications has shown that the new test detected significant levels of the cancer glycan in blood samples from over 90% of women with stage 1 ovarian cancer and in 100% of samples from later stages of the disease, but not in any of the samples from healthy controls.

""Ovarian cancer is notoriously difficult to detect in its early stages, when there are more options for treatment and survival rates are better. Our new test is therefore a potential game changer,"" says Professor James Paton, Director of the University of Adelaide's Research Centre for Infectious Diseases.

Professor Michael Jennings, Deputy Director of the Institute for Glycomics at Griffith University, said: ""Detection of this tumour marker may also play a role in a simple liquid biopsy to monitor disease stage and treatment.""

The team is currently seeking scientific and commercial partners to further test the technology with larger numbers of patient samples and to adapt it for mass screening.

###",diagnostics_devices_drugs
"Can't exercise? A hot bath may help improve inflammation, metabolism, study suggests","Rockville, Md. (November 15, 2018)--Hot water treatment may help improve inflammation and blood sugar (glucose) levels in people who are unable to exercise, according to a new study. The findings are published ahead of print in the Journal of Applied Physiology.

Physical stress such as exercise can cause the short-term elevation of inflammatory markers. After exercise, the level of an inflammatory chemical (IL-6) rises. In a process called the inflammatory response, this activates the release of anti-inflammatory substances to combat unhealthily high levels of inflammation, known as chronic low-grade inflammation. Recent research has shown that raising body temperature augments the inflammatory response and provides a rationale for identifying exercise alternatives that reduce low-grade inflammation in the body. Previous studies have also found a connection between a spike in body temperature and nitric oxide production, a substance that aids blood flow and helps carry glucose throughout the body.

Researchers studied markers of inflammation and blood sugar and insulin levels in a group of sedentary, overweight men. The volunteers participated in both hot-water immersion and ambient room temperature (control) trials separated by at least three days. The researchers took blood samples before and after the participants rested in an 80-degree F room for 15 minutes. After the rest period, the participants either remained seated in the room or entered a hot-water bath for 60 minutes. In the hot water trial, the volunteers sat immersed up to their necks in 102-degree F water. The research team measured the men's heart rate, blood pressure and body temperature every 15 minutes throughout both the control and immersion conditions. Blood samples were taken again two hours after each session.

The researchers found that a single hot-water immersion session causes the elevation of Il-6 levels in the blood and increased nitric oxide production, but did not change the expression of heat shock protein 72--another protein suggested to be important for health. However, a two-week treatment period in which the men participated in daily hot-water baths showed a reduction of fasting blood sugar and insulin levels as well as improved low-grade inflammation at rest.

The men reported a level of discomfort during the hot water immersion trial, which could be due to the high temperature of the water or the length of time they were required to remain immersed. The researchers acknowledge that these conditions may make it difficult for people to commit to this type of alternative treatment. However, the positive results of decreased inflammation and improved insulin sensitivity suggest that hot-water immersion may ""improve aspects of the inflammatory profile and enhance glucose metabolism in sedentary, overweight males and might have implications for improving metabolic health in populations unable to meet the current physical activity recommendations,"" the researchers wrote.

###

Read the full article, ""The acute and chronic effects of hot water immersion on inflammation and metabolism in sedentary, overweight adults,"" published ahead of print in the Journal of Applied Physiology.

NOTE TO JOURNALISTS: To schedule an interview with a member of the research team, please contact the communications@the-aps.org"">APS Communications Office or 301-634-7314. Find more research highlights in the APS Press Room.

Physiology is the study of how molecules, cells, tissues and organs function in health and disease. Established in 1887, the American Physiological Society (APS) was the first U.S. society in the biomedical sciences field. The Society represents more than 10,000 members and publishes 15 peer-reviewed journals with a worldwide readership.",general_health
First-ever prostate cancer treatment uses gold nanoparticles to destroy tumorous cells,"Newswise — HOUSTON – (Nov. 8, 2018) A small clinical trial using gold nanoparticles that act as tumor-seeking missiles on a mission to remove prostate cancer has begun at The University of Texas Health Science Center at Houston (UTHealth). It is the first trial of its kind in the world.

The nanoparticles, or nanoshells, are made of small layers of silica glass formed into a sphere and wrapped in a thin layer of gold. The shells seek out and saturate cancerous cells, and their advanced vibrational properties are then harnessed to cause the tumorous tissue to pulse with extreme temperature when light is applied through a laser specifically designed to excite the particles. The oscillation kills the cancer cells while preserving the healthy tissue, avoiding the nerves and urinary sphincter. This procedure is the first in the world that is precise enough to potentially avoid negative ramifications like urinary incontinence or sexual impotency.

“This therapy could be life-changing for men diagnosed with prostate cancer and I’m honored to be among the first doctors the U.S. Food and Drug Administration approved to put it to the test,” said Steven Canfield, M.D., chair of the division of urology at McGovern Medical School at UTHealth, who recognized the possibility of the nanoparticles to treat prostate cancer and helped developed the trial to test the theory.

Prostate cancer begins when cells in a man’s prostate gland mutate and start to grow uncontrollably. Other than skin cancer, prostate is the most common cancer in American men, with an estimated 1 out of 9 men diagnosed. The American Cancer Society estimates 29,430 men died from the disease in 2018 alone.

Treatment options have traditionally included radical prostatectomy, which is the removal of the prostate gland and some of the tissue around it, radiation therapy and cryotherapy, among others. These methods carry the potential to have a negative impact on urinary function and sexual performance.

“The side effects of current prostate cancer treatments can be extremely traumatic. This new technology holds the potential to eliminate those life-altering effects, while still removing the cancer tissue and reducing hospital and recovery time,” Canfield said. “In fact, the first patient in the trial was actually riding a bike within a week of his treatment. The fusion of MRI and ultrasound imaging technology that we use to accurately identify and diagnose the cancer, combined with the extreme precision of the gold nanoshells in targeting the diseased cells, allows us to be incredibly accurate at obliterating them. I am excited as we continue tracking the progress of this groundbreaking improvement to prostate cancer care.”

Doug Flewellen, the first patient in Texas to receive the new method of care, says for him, the procedure was a no-brainer.

“No man wants to go through radical removal, and I knew active monitoring could have potentially aggravated the cancer,” Flewellen said. “The side effects of traditional treatment were not worth it to me, and I wasn’t afraid to try the most cutting-edge technology. Looking back, the experience was even better than I was expecting, and I hope to see nanoparticle therapy advance into an option for anyone diagnosed with prostate cancer in the future.”

The gold nanoparticles were invented by Naomi Halas, the head of Rice University’s Laboratory for Nanophotonics. Canfield worked closely with Halas and Nanospectra Biosciences, the company where the shells are licensed, to incorporate the state-of-the-art technology into the trial that is also underway at the Icahn School of Medicine at Mount Sinai and the University of Michigan to test the efficacy of the therapy.

To see the requirements and learn more about the trial, visit: https://clinicaltrials.gov/ct2/show/NCT02680535.

About UTHealth

Established in 1972 by The University of Texas System Board of Regents, The University of Texas Health Science Center at Houston (UTHealth) is Houston’s Health University and Texas’ resource for health care education, innovation, scientific discovery and excellence in patient care. The most comprehensive academic health center in the UT System and the U.S. Gulf Coast region, UTHealth is home to Jane and Robert Cizik School of Nursing, John P. and Kathrine G. McGovern Medical School, and schools of biomedical informatics, biomedical sciences, dentistry and public health. UTHealth includes The University of Texas Harris County Psychiatric Center, as well as the growing clinical practices UT Physicians, UT Dentists and UT Health Services. The university’s primary teaching hospitals are Memorial Hermann-Texas Medical Center, Children’s Memorial Hermann Hospital and Harris Health Lyndon B. Johnson Hospital. For more information, visit www.uth.edu.",general_health
High-Precision Proton Therapy More Effective in Treating Certain Cancers When Combined with Thermal Therapy,"Newswise — Baltimore, Md. Oct. 8, 2018 – The Maryland Proton Treatment Center (MPTC) is now offering deep-tissue external thermal therapy in combination with high-precision proton-beam radiotherapy as a potential way to boost survival chances for certain cancer patients. MPTC is the only center in the world to offer these two treatments at the same facility, an advantage to patients because these therapies are typically given within an hour of each other.

Research has shown that thermal therapy can be especially useful in difficult-to-reach cancers in the abdomen and pelvic region. Studies have found that adding thermal therapy to standard treatments can significantly shrink tumors and can improve survival for some patients. External thermal therapy, or hyperthermia – in the range of 104° up to 110° F. – sensitizes tumor cells to chemotherapy and radiation therapy. In addition, heat has been shown to enhance anti-tumor immune response.

“We are very pleased to be able to offer deep-tissue thermal therapy, which can be combined with standard radiation therapy as well as proton-beam therapy to enhance the cancer-killing effects of the radiation,” says Zeljko Vujaskovic, MD, PhD, a professor of radiation oncology and director of the Division of Translational Radiation Sciences (DTRS) in the Department of Radiation Oncology at the University of Maryland School of Medicine (UMSOM).

“Early research suggests that adding thermal therapy to proton-beam therapy may be associated with an even greater benefit than when combined with standard radiation therapy, and we are excited to be at the forefront of making this combination therapy available to cancer patients,” says Dr. Vujaskovic, an internationally recognized expert in hyperthermic oncology.

Proton therapy is a precise form of radiation therapy that deposits all of its energy within the tumor and allows for less irradiation of noncancerous tissue. MPTC – which is affiliated with the University of Maryland Marlene and Stewart Greenebaum Comprehensive Cancer Center (UMGCCC) at the University of Maryland Medical Center – is the only proton treatment center in Maryland.

Radiation oncologists at UMGCCC already use external thermal therapy to treat a range of cancers, but do not currently use it for cancers that are deeper in the body.

According to Dr. Vujaskovic, the new deep-tissue thermal therapy equipment, which is made by Pyrexar, will be used to treat cancers of the abdominal and pelvic region, including cancer of the bladder, rectum, cervix, ovaries, pancreas and connective tissue, which are known as sarcomas. Patients would typically receive the thermal therapy two times a week for an hour before or after they receive standard (photon) radiation or proton-beam therapy.

The system heats the tumor tissue to 108° F. with internal and external probes that enable doctors to continuously monitor the temperature. A water-filled applicator is placed over the area to be treated, and non-invasive radio frequency energy is directed at the tumor. The heat causes the blood vessels in the tumor to dilate, bringing more oxygen into the tumor, which makes cancer cells more vulnerable to radiation therapy.

The acquisition of the deep-tissue thermal therapy system was made possible by donations from Jack and Emily Howell and the Middendorf Foundation, Inc.

“Within the Department of Radiation Oncology and throughout our cancer center, we strive to make every available tool in the cancer-fighting toolbox available to our patients,” says William F. Regine, MD, FACR, FACRO, the Isadore & Fannie Schneider Foxman Endowed Chair and Professor of radiation oncology at UMSOM and chair of radiation oncology at UMGCCC. “By continuing to develop a comprehensive thermal oncology program, we are giving patients more effective treatment options and therefore another reason to hope for better outcomes.”

“The Maryland Proton Treatment Center has achieved another milestone by becoming the first center to offer both deep-thermal therapy and proton therapy,” says E. Albert Reece, MD, PhD, MBA, Executive Vice President for Medical Affairs at UM Baltimore and the John Z. and Akiko K. Bowers Distinguished Professor and dean at UMSOM. “This achievement is a testament to Dr. Vujaskovic’s considerable expertise in hyperthermic oncology and leadership in developing an outstanding thermal oncology program at the University of Maryland. It’s this type of innovation that sets MPTC apart from other proton treatment centers.”

About the University of Maryland School of Medicine

Commemorating its 210th Anniversary, the University of Maryland School of Medicine was chartered in 1807 as the first public medical school in the United States. It continues today as one of the fastest growing, top-tier biomedical research enterprises in the world -- with 43 academic departments, centers, institutes, and programs; and a faculty of more than 3,000 physicians, scientists, and allied health professionals, including members of the National Academy of Sciences, and a distinguished recipient of the Albert E. Lasker Award in Medical Research. With an operating budget of more than $1 billion, the School of Medicine works closely in partnership with the University of Maryland Medical Center and Medical System to provide research-intensive, academic and clinically-based care for more than 1.2 million patients each year. The School has over 2,500 students, residents, and fellows, and nearly $450 million in extramural funding, with more than half of its academic departments ranked in the top 20 among all public medical schools in the nation in research funding. As one of the seven professional schools that make up the University of Maryland, Baltimore campus, the School of Medicine has a total workforce of nearly 7,000 individuals. The combined School and Medical System (“University of Maryland Medicine”) has a total budget of $5 billion and an economic impact of nearly $15 billion on the state and local community. The School of Medicine faculty, which ranks as the 8th-highest public medical school in research productivity, is an innovator in translational medicine with 600 active patents and 24 start-up companies. The School works locally, nationally, and globally, with research and treatment facilities in 36 countries around the world. Visit medschool.umaryland.edu/

About the Maryland Proton Treatment Center

The Maryland Proton Treatment Center (MPTC) offers proton therapy – a highly advanced and precise form of radiation therapy that can increase radiation dose to tumor while decreasing dose to healthy, surrounding tissue – to the Baltimore/Washington region and beyond. It is a highly effective treatment for a wide range of localized tumors such as those found in the brain, base of the skull, head and neck area, eye tumors, tumors of the esophagus, lung, prostate, liver, breast, spinal cord, as well as gastrointestinal malignancies. It is also an important treatment option for children with cancer.

At MPTC, each treatment room is equipped with the most advanced form of “pencil beam” proton therapy, which essentially paints the radiation onto the tumor while stopping precisely at the site of the tumor. Proton therapy is performed on an outpatient basis and is a well-tolerated, non-invasive treatment that can reduce side effects. It can be used in conjunction with other modalities of cancer treatments such as chemotherapy and surgery. MPTC offers a robust clinical trial program to all its patients to further evidence-based medicine.",general_health
Milk protein shown to alleviate chemotherapy side effects,"Patients undergoing cancer treatment confront a number of well-documented side effects.

Chemotherapy and other cancer therapies can wreak havoc on the taste buds and olfactory senses, depriving recipients of the intricate interplay between taste and smell that is critical to grasping flavors and enjoying foods. Over time, taste and smell abnormalities (TSA) can lead to a loss of appetite and anorexic behaviors, compromising patients' ability to recuperate from the disease.

In a new paper published in the journal Food & Function, Virginia Tech College of Agriculture and Life Sciences researchers Susan Duncan and Aili Wang investigated the feasibility of lactoferrin, a highly bioactive protein found in saliva and milk, as a treatment for TSA. Their findings could bring relief to millions of patients undergoing cancer treatment.

""The underlying molecular mechanisms of TSA are not well-understood,"" said Duncan, associate director of the Virginia Agricultural Experiment Station and a professor in the Department of Food Science and Technology. ""The prevailing symptom described by patients undergoing chemotherapy is a persistent metallic flavor or aftertaste, with or without food intake. This can last for hours, weeks, or even months after the completion of treatments.""

As a consequence, cancer patients suffer poor appetite, weight loss, depression, and diminished nutrition, all of which are detrimental to recovery. Although TSA is widespread and a frequent complaint of cancer patients, until now, there have been no established therapies that reliably prevent or treat this problem.

""Our research shows that daily lactoferrin supplementation elicits changes in the salivary protein profiles in cancer patients - changes that may be influential in helping to protect taste buds and odor perception,"" said Duncan. ""By suggesting lactoferrin as a dietary supplement, we can reduce TSA for many patients, restoring their ability to enjoy foods during a time in which nutrition can play a key role in their recovery. This research could help us develop TSA-targeted biomarkers and strategies for improving quality of life during chemotherapy. Cancer patients and their supporting family and friends may again find comfort in enjoying a meal together. ""

The transdisciplinary team, including William Ray, Department of Biochemistry; Andrea Dietrich, of the Charles E. Via Jr. Department of Civil and Environmental Engineering in the College of Engineering; and Glenn Lesser, from Wake Forest Baptist Medical Center, previously identified the role of lactoferrin, a specific milk protein, in diminishing the metallic flavor stimulated by chemotherapy medications. The substance is well-known as a first-line defense, aiding the body's immune response, but little is known about its ability to impact salivary proteins. Their most recent study builds on the previous body of work through the application of lactoferrin supplements in treating taste and smell abnormalities.

The team's findings will make it possible for cancer patients to taste foods properly and to enjoy a healthier appetite, enabling more optimal nutrition during a critical period of recovery. Lactoferrin supplementation also enhances the expression of salivary immune proteins, which may help reduce oxidative stress and resulting side effects. Oral infections, such as thrush, also may be diminished.

###",cancer
