content,type
"right now we have over 40,000 new jobs in a little over 18 months in missouri.",economy_taxes_jobs
a video of joe biden and beto orourke at a texas whataburger shows biden looking directly into the camera and promising to take away americans guns if elected.,guns_violence
north carolina gov. roy cooper has seen his approval rating plummet,political_general
joe biden mistakes idaho for iowa in visit to boise fundraiser.,political_general
bernie sanders has never taken corporate lobbyist money in his *entire political career.*,political_general
"at polling places in texas on super tuesday the republican side gets 25 machines, the democratic side gets 5 machines. people were literally standing in line for seven hours.",political_general
"u.s. rep. dan lipinski voted against the dream act, supports separating families and banning muslims.",immigration_religion
an image of a vermont mansion is one of bernie sanders homes.,political_general
bloomberg spent $500 million on ads. the u.s. population is 327 million. he could have given each american $1 million and still have money left over.,political_general
"bernie sanders only had 3,444 votes in nevada.",elections_voting
"i pay $165 a month on my student loans for the next 13 years to pay them off. with bernie sanders plan, my student loans will be forgiven. ill only have to pay $450 extra in taxes a month for the next 25 years to make sure ill have no more student debt.",economy_taxes_jobs
asteroid warning: nasa tracks a 4km killer rock on approach - could end human civilisation.,political_general
"every time the dscc endorsed someone in north carolina's u.s. senate primary, and the person they didnt support was black, the candidate they picked ended up losing.",elections_voting
quaden bayles committed suicide.,political_general
of the milwaukee mass shooter: supposedly he is black. a noose was hung on his locker and he addressed the issue and he was fired! so he returned the next work day and killed who he all thought were involved.,political_general
bernie (sanders) is a communist.,political_general
i had the great honor of being arrested with our u.n. ambassador on the streets of soweto trying to get to see (nelson mandela) on robbens island.,political_general
"in 1962, joe biden worked with segregationists, elizabeth warren debated as a pro-vietnam conservative while bernie sanders organized against segregation and vietnam war",political_general
bernie sanders in 1963 arrested protesting segregation. joe biden in 1975 passionate speech defending segregation.,race_protest_police
bernie sanders voted in favor of every war during his tenure.,political_general
bernie logic: nobody can live on $7 an hour. we must raise the minimum wage to $15 an hour. also we must raise the tax rate to 52%. $15 an hour * 52% = $7.80. $15 an hour - $7.80 = $7.20. $7.20 an hour!!!,economy_taxes_jobs
pepsico announced mountain dew will be discontinued over health concerns.,political_general
former congressman keith ellison beats his girlfriend and democrats make him the deputy chair of the dnc.,political_general
"jihad will continue until all the hindus, christians, buddhists, atheists are killed. your secularism & tolerance can not change our ideology. quran does not permit survival of non-muslims. abdullah zuber.",immigration_religion
"obama said black people have the worst jobs, the worst housing and face rampant police brutality, but when so-called black committeemen came around election time wed all line up and vote the straight democratic ticket, sell our souls for a christmas turkey.",elections_voting
"bernie sanders opposed obamacare, didn't like the fact we didn't push a single-payer option.",political_general
a photo of pete buttigieg in a military uniform was staged.,political_general
trumps farmer bailout is now twice the size of obamas gm bailout. the big difference is gm paid their bailout back with interest.,economy_taxes_jobs
"u.s. immigration and customs enforcement will be at every polling station on nov. 3, 2020.",political_general
a michigan funeral home employee was cremated by mistake while taking a nap.,political_general
"(a recent study) said medicare for all will lower health care costs in this country by $450 billion a year and save the lives of 68,000 people who would otherwise have died.",economy_taxes_jobs
there is a group going to homes and pretending to be officials from home affairs. they have documents with the letterhead department of home affairs and claim to be confirming that everyone has a valid id for the upcoming census. they are robbing homes.,political_general
quotes actor will smith as saying: im not afraid to say that trump and his supporters are ba_Â¦,political_general
"say bernie sanders said, italians are gangsters and irish are drunk and jews are greedy and black people smell.",race_protest_police
"if you like your private plan, you can keep it.",political_general
violent crime in south bend doubled during mayor petes tenure.,political_general
"rep. devin nunes, r-calif., said defending trump is more important than the united states.",political_general
bernie sanders would go beyond reform and reorder the economy in ways most democrats let alone most americans dont support.,economy_taxes_jobs
bloomberg says he wants to ban guns holding more than three rounds.,guns_violence
"pardons obama: 1,927, trump: 26. and trump is abusing that power?",political_general
americas carbon emissions are being reduced at a rate far higher than any country in the world.,political_general
"bernie sanders wants free health care for all and was asked how he would pay for it. his answer was raise taxes to 52% on anybody making over $29,000 per year.",economy_taxes_jobs
"amy, i looked online at your (health care) plan. its two paragraphs.",economy_taxes_jobs
president trumps limousine driver did burnouts to entertain daytona 500 spectators during a rain delay.,political_general
image shows pete buttigieg in a leather suit posing with two other men.,political_general
video shows democratic presidential candidates speechless for 20 seconds when discussing whether any of them started a business.,political_general
the united nations plans to implant everyone with a biometric id.,political_general
"maxine waters tweeted, every single gun owner i have talked to has told me, as soon as i walked out of that gun store, i felt a killer growing inside of me. when will we acknowledge there is no such thing as a responsible gun owner?",guns_violence
"yet, for all that spending, health outcomes today on medicaid are mediocre and many patients have difficulty accessing care.",economy_taxes_jobs
violent crime rates increased in all but two wisconsin cities between 2008 and 2017.,political_general
a photo shows the height difference between donald trump and mike bloomberg.,political_general
"kobe bryants eldest daughter, natalia, left a suicide video after being bullied.",political_general
a photo shows an elephant carrying a lion cub to a pool of water so it wouldnt die.,political_general
mayor bloomberg was busy blaming african americans and latinos for the housing crisis in 2008.,race_protest_police
a photo of pete buttigieg in a military uniform without visible patches shows that he is a fraud.,political_general
"mike bloomberg opposed modest proposals during barack obamas presidency to raise taxes on the wealthy, while advocating for cuts to medicare and social security.",economy_taxes_jobs
photo shows bernie sanders at the 1969 stonewall riots.,race_protest_police
michigan prosecutor looks to release 90 convicted murderers serving life sentences.,political_general
"after pushing through a red flag law in the new mexico senate, gov. michelle lujan grisham has had the firearms of her guards and household seized.",guns_violence
a teenage pete buttigieg was arrested in the late 1990s for killing dogs.,political_general
"quotes kamala harris as saying: after we impeach, we round up the trump supporters.",political_general
sanders medicare for all plan would cost more than the entire federal budget that we spend now.,economy_taxes_jobs
the widow and son of a deceased military veteran looked on in horror as speaker nancy pelosi ripped up a copy of the state of the union.,political_general
"this is a 1927 news article showing america was sold to five billionaires the rothschilds, rockefellers, duponts, harrimans and warburgs.",conspiracy
republicans just won two congressional seats in north carolina that were not supposed to be won.,political_general
our new (health care) plans are up to 60% less expensive and better than obamacare.,economy_taxes_jobs
chinese people eat human baby soup to improve health.,political_general
"north carolina's democratic primary is open to all registered voters, regardless of registration.",elections_voting
"with his guilty impeachment vote, senator mitt romney could be removed from office.",elections_voting
"mitt romneys father u.s. senator george romney, was a liberal republican who had ties to saul alinsky, yes, the same dude who wrote the book, rules for radicals and dedicated to satan.",political_general
"william barr tweeted, breaking news senator mitt romney is the only republican senator who voted to remove president trump from office_Â¦ in a completely unrelated story senator mitt romney is also the only republican senator who has a son who sits on the board of a ukrainian energy company.",political_general
joe bidens campaign told an iowa library where jill biden was holding an event to remove the american flag as they did not want to say the pledge of allegiance.,elections_voting
a video proves pelosi was planning to rip up president donald trumps state of the union address from the start.,political_general
we have an america where _Â¦ hard-working families have flat wages.,economy_taxes_jobs
"a photo shows patrick mahomes wearing a shirt that says, the great state of kansas.",political_general
"nancy pelosi may have just committed a violation of 18 u.s.c. _Â§ 2071, section 2071 (a) when she ripped up president trumps state of the union address. this violation is punishable by up to three years in prison.",political_general
"donald trump tweeted, i have it on good authority that the real reason for the delayed results from the #iowacaucus is they are trying to hide the fact that the winner was @verminsupreme. this is one time i hope the dnc is actually successful, as vermin is the only candidate that is smart (and crazy) enough to possibly beat me!",political_general
eight iowa counties have more adults registered to vote than voting-aged adults living there.,elections_voting
kobe bryants wife recorded her suicide after depression attack this morning.,political_general
